headline,category,url,scraped_at,headline_clean,date,hour,polarity,subjectivity,sentiment
Tesla loses EV crown to China's BYD in 2025 as sales slip,Business,https://www.standardmedia.co.ke/business/motoring/article/2001537722/tesla-loses-ev-crown-to-chinas-byd-in-2025-as-sales-slip,2026-03-06 11:58:00,Tesla loses EV crown to China's BYD in 2025 as sales slip,2026-03-06,11,-0.3,0.1,Negative
Troubling skies: Inside the surge in aircraft crashes,Business,https://www.standardmedia.co.ke/business/motoring/article/2001537548/troubling-skies-inside-the-surge-in-aircraft-crashes,2026-03-06 11:58:00,Troubling skies Inside the surge in aircraft crashes,2026-03-06,11,0.0,0.0,Neutral
Flu season is here: Kenya sounds alarm as influenza cases rise,Health,https://www.standardmedia.co.ke/health/health-science/article/2001542375/flu-season-is-here-kenya-sounds-alarm-as-influenza-cases-rise,2026-03-06 11:58:00,Flu season is here Kenya sounds alarm as influenza cases rise,2026-03-06,11,0.0,0.0,Neutral
Kilifi county rolls out initiative to boost primary healthcare at the grassroots,Health,https://www.standardmedia.co.ke/health/health-science/article/2001542279/kilifi-county-rolls-out-initiative-to-boost-primary-healthcare-at-the-grassroots,2026-03-06 11:58:00,Kilifi county rolls out initiative to boost primary healthcare at the grassroots,2026-03-06,11,0.4,0.5,Positive
Chinese scientists develop non-invasive method for brain imaging in mice,Health,https://www.standardmedia.co.ke/health/health-science/article/2001542253/chinese-scientists-develop-non-invasive-method-for-brain-imaging-in-mice,2026-03-06 11:58:00,Chinese scientists develop non-invasive method for brain imaging in mice,2026-03-06,11,0.0,0.0,Neutral
"Train teachers with basic life-saving skills, government told",Health,https://www.standardmedia.co.ke/health/health-science/article/2001542252/train-teachers-with-basic-life-saving-skills-government-told,2026-03-06 11:58:00,"Train teachers with basic life-saving skills, government told",2026-03-06,11,0.0,0.125,Neutral
"Zimbabwe, Zambia now reject US health funding deal over data fears",Health,https://www.standardmedia.co.ke/health/health-science/article/2001542118/zimbabwe-zambia-now-reject-us-health-funding-deal-over-data-fears,2026-03-06 11:58:00,"Zimbabwe, Zambia now reject US health funding deal over data fears",2026-03-06,11,0.0,0.0,Neutral
MPs probe KNH over idle Sh453m oxygen facility,Health,https://www.standardmedia.co.ke/health/health-science/article/2001542120/mps-probe-knh-over-idle-sh453m-oxygen-facility,2026-03-06 11:58:00,MPs probe KNH over idle Sh453m oxygen facility,2026-03-06,11,0.0,0.0,Neutral
Inside the hidden pressures that come with menopause,Health,https://www.standardmedia.co.ke/health/health-science/article/2001542046/inside-the-hidden-pressures-that-come-with-menopause,2026-03-06 11:58:00,Inside the hidden pressures that come with menopause,2026-03-06,11,-0.16666666666666666,0.3333333333333333,Negative
"Nature's cure: How forest walks cut stress, boost health",Health,https://www.standardmedia.co.ke/health/family-wellness/article/2001531675/natures-cure-how-forest-walks-cut-stress-boost-health,2026-03-06 11:58:00,"Nature's cure How forest walks cut stress, boost health",2026-03-06,11,0.0,0.0,Neutral
Why red meat is not that bad after all,Health,https://www.standardmedia.co.ke/health/family-wellness/article/2001531673/why-red-meat-is-not-that-bad-after-all,2026-03-06 11:58:00,Why red meat is not that bad after all,2026-03-06,11,-0.3499999999999999,0.3333333333333333,Negative
25 million kids missed routine vaccinations because of Covid-19,Health,https://www.standardmedia.co.ke/health/nutrition-wellness/article/2001450593/25-million-kids-missed-routine-vaccinations-because-of-covid-19,2026-03-06 11:58:00,25 million kids missed routine vaccinations because of Covid-19,2026-03-06,11,0.0,0.0,Neutral
"Marsabit drought: Even adults are malnourished, we're waiting on God",Health,https://www.standardmedia.co.ke/health/nutrition-wellness/article/2001444213/marsabit-drought-even-adults-are-malnourished-were-waiting-on-god,2026-03-06 11:58:00,"Marsabit drought Even adults are malnourished, we're waiting on God",2026-03-06,11,0.0,0.0,Neutral
"Menopause is a stage to be understood, not a disease",Health,https://www.standardmedia.co.ke/health/reproductive-health/article/2001542017/menopause-is-a-stage-to-be-understood-not-a-disease,2026-03-06 11:58:00,"Menopause is a stage to be understood, not a disease",2026-03-06,11,0.0,0.0,Neutral
"Thirty and unrushed: How women are redefining marriage timelines, myths",Health,https://www.standardmedia.co.ke/health/reproductive-health/article/2001536908/thirty-and-unrushed-how-women-are-redefining-marriage-timelines-myths,2026-03-06 11:58:00,"Thirty and unrushed How women are redefining marriage timelines, myths",2026-03-06,11,0.0,0.0,Neutral
How breastfeeding rooms are empowering working mothers,Health,https://www.standardmedia.co.ke/health/reproductive-health/article/2001534817/how-breastfeeding-rooms-are-empowering-working-mothers,2026-03-06 11:58:00,How breastfeeding rooms are empowering working mothers,2026-03-06,11,0.0,0.0,Neutral
How to recognise child-on-child sexual abuse,Health,https://www.standardmedia.co.ke/health/reproductive-health/article/2001533352/how-to-recognise-child-on-child-sexual-abuse,2026-03-06 11:58:00,How to recognise child-on-child sexual abuse,2026-03-06,11,0.5,0.8333333333333334,Positive
Why Gen Z is saying no to having children,Health,https://www.standardmedia.co.ke/health/reproductive-health/article/2001532789/why-gen-z-is-saying-no-to-having-children,2026-03-06 11:58:00,Why Gen Z is saying no to having children,2026-03-06,11,0.0,0.0,Neutral
'Zuri died in the Neonatal Intensive Care Unit': Ashley Muteti's battle with pre-eclampsia,Health,https://www.standardmedia.co.ke/health/reproductive-health/article/2001532704/zuri-died-in-the-neonatal-intensive-care-unit-ashley-mutetis-battle-with-pre-eclampsia,2026-03-06 11:58:00,'Zuri died in the Neonatal Intensive Care Unit' Ashley Muteti's battle with pre-eclampsia,2026-03-06,11,0.0,0.0,Neutral
"Support intersex children, parents told",Health,https://www.standardmedia.co.ke/health/reproductive-health/article/2001532702/support-intersex-children-parents-told,2026-03-06 11:58:00,"Support intersex children, parents told",2026-03-06,11,0.0,0.0,Neutral
Bedroom matters: Here's a treatment for 'one-minute-men',Health,https://www.standardmedia.co.ke/health/reproductive-health/article/2001451444/bedroom-matters-heres-a-treatment-for-one-minute-men,2026-03-06 11:58:00,Bedroom matters Here's a treatment for 'one-minute-men',2026-03-06,11,0.0,0.0,Neutral
"US decision on abortion divides pro-life, pro-abortion supporters",Health,https://www.standardmedia.co.ke/health/reproductive-health/article/2001450133/us-decision-on-abortion-divides-pro-life-pro-abortion-supporters,2026-03-06 11:58:00,"US decision on abortion divides pro-life, pro-abortion supporters",2026-03-06,11,0.0,0.0,Neutral
Lupus: Autoimmune disease that attacks more women than men,Health,https://www.standardmedia.co.ke/health/health-science/article/2001542047/lupus-autoimmune-disease-that-attacks-more-women-than-men,2026-03-06 11:58:00,Lupus Autoimmune disease that attacks more women than men,2026-03-06,11,0.5,0.5,Positive
Not so good news for adults on malaria vaccine,Health,https://www.standardmedia.co.ke/health/health-science/article/2001542020/not-so-good-news-for-adults-on-malaria-vaccine,2026-03-06 11:58:00,Not so good news for adults on malaria vaccine,2026-03-06,11,0.7,0.6000000000000001,Positive
Michael Panther: Lost ability to walk at 10 due to spinal TB,Health,https://www.standardmedia.co.ke/health/health-science/article/2001542049/michael-panther-lost-ability-to-walk-at-10-due-to-spinal-tb,2026-03-06 11:58:00,Michael Panther Lost ability to walk at 10 due to spinal TB,2026-03-06,11,-0.125,0.375,Negative
From back pain to paralysis: Understanding Spinal TB,Health,https://www.standardmedia.co.ke/health/health-science/article/2001542019/from-back-pain-to-paralysis-understanding-spinal-tb,2026-03-06 11:58:00,From back pain to paralysis Understanding Spinal TB,2026-03-06,11,0.0,0.0,Neutral
How ambulance shortage deepens inequality in care in slums,Health,https://www.standardmedia.co.ke/health/tech-innovation/article/2001542043/how-ambulance-shortage-deepens-inequality-in-care-in-slums,2026-03-06 11:58:00,How ambulance shortage deepens inequality in care in slums,2026-03-06,11,0.0,0.0,Neutral
"Elections: Politicians get so stressed, even suicidal",Health,https://www.standardmedia.co.ke/health/mental-health/article/2001447894/elections-politicians-get-so-stressed-even-suicidal,2026-03-06 11:58:00,"Elections Politicians get so stressed, even suicidal",2026-03-06,11,0.0,0.0,Neutral
Conversation on mental health among teenagers,Health,https://www.standardmedia.co.ke/health/mental-health/article/2001447187/conversation-on-mental-health-among-teenagers,2026-03-06 11:58:00,Conversation on mental health among teenagers,2026-03-06,11,-0.1,0.2,Neutral
Oguta and Ogweno's rise from school to stardom,Sports,https://www.standardmedia.co.ke/sports/football/article/2001542388/oguta-and-ogwenos-rise-from-school-to-stardom,2026-03-06 11:59:00,Oguta and Ogweno's rise from school to stardom,2026-03-06,11,0.0,0.0,Neutral
Kenyan universities ready to chase international honours,Sports,https://www.standardmedia.co.ke/sports/sports/article/2001542390/kenyan-universities-ready-to-chase-international-honours,2026-03-06 11:59:00,Kenyan universities ready to chase international honours,2026-03-06,11,0.1,0.25,Neutral
Doping scourge: Concerns as more athletes repeat offences,Sports,https://www.standardmedia.co.ke/sports/athletics/article/2001542386/doping-scourge-concerns-as-more-athletes-repeat-offences,2026-03-06 11:59:00,Doping scourge Concerns as more athletes repeat offences,2026-03-06,11,0.5,0.5,Positive
Easy does it as top guns dominate Nairobi Sub-Region games,Sports,https://www.standardmedia.co.ke/sports/sports/article/2001542398/easy-does-it-as-top-guns-dominate-nairobi-sub-region-games,2026-03-06 11:59:00,Easy does it as top guns dominate Nairobi Sub-Region games,2026-03-06,11,0.4666666666666667,0.6666666666666667,Positive
Posta Rangers slow down Gor Mahia's title charge,Sports,https://www.standardmedia.co.ke/sports/football/article/2001542399/posta-rangers-slow-down-gor-mahias-title-charge,2026-03-06 11:59:00,Posta Rangers slow down Gor Mahia's title charge,2026-03-06,11,-0.2277777777777778,0.34444444444444444,Negative
School Games: St Mary's Yala and Ng'iya Girls rule basketball in Siaya,Sports,https://www.standardmedia.co.ke/sports/basketball/article/2001542395/school-games-st-marys-yala-and-ngiya-girls-rule-basketball-in-siaya,2026-03-06 11:59:00,School Games St Mary's Yala and Ng'iya Girls rule basketball in Siaya,2026-03-06,11,0.0,0.0,Neutral
Local drivers eager to leave a mark in 2026 WRC Safari Rally,Sports,https://www.standardmedia.co.ke/sports/motorsport/article/2001542208/local-drivers-eager-to-leave-a-mark-in-2026-wrc-safari-rally,2026-03-06 11:59:00,Local drivers eager to leave a mark in 2026 WRC Safari Rally,2026-03-06,11,0.0,0.0,Neutral
How broken league is derailing Kenya Lionesses' future,Sports,https://www.standardmedia.co.ke/sports/rugby/article/2001541940/how-broken-league-is-derailing-kenya-lionesses-future,2026-03-06 11:59:00,How broken league is derailing Kenya Lionesses' future,2026-03-06,11,-0.2,0.2625,Negative
Prisons crowned Japanese Ambassador's Cup champions,Sports,https://www.standardmedia.co.ke/sports/unique-sports/article/2001541984/prisons-crowned-japanese-ambassadors-cup-champions,2026-03-06 11:59:00,Prisons crowned Japanese Ambassador's Cup champions,2026-03-06,11,0.0,0.0,Neutral
Kenyans Okolla and Wasike put rivals on notice ahead of bouts,Sports,https://www.standardmedia.co.ke/sports/boxing/article/2001541851/kenyans-okolla-and-wasike-put-rivals-on-notice-ahead-of-bouts,2026-03-06 11:59:00,Kenyans Okolla and Wasike put rivals on notice ahead of bouts,2026-03-06,11,0.0,0.0,Neutral
DCI arrest hapless A-Plus to extend unbeaten league run,Sports,https://www.standardmedia.co.ke/sports/volleyball-and-handball/article/2001541787/dci-arrest-hapless-a-plus-to-extend-unbeaten-league-run,2026-03-06 11:59:00,DCI arrest hapless A-Plus to extend unbeaten league run,2026-03-06,11,-0.325,0.5,Negative
"Magical Kenya Open: Indiza, Wakhu, Mediratta begin early preparations for next edition",Sports,https://www.standardmedia.co.ke/sports/golf/article/2001541649/magical-kenya-open-indiza-wakhu-mediratta-begin-early-preparations-for-next-edition,2026-03-06 11:59:00,"Magical Kenya Open Indiza, Wakhu, Mediratta begin early preparations for next edition",2026-03-06,11,0.15,0.45,Positive
Good start for Equity Hawks as Dumas falter,Sports,https://www.standardmedia.co.ke/sports/basketball/article/2001541614/good-start-for-equity-hawks-as-dumas-falter,2026-03-06 11:59:00,Good start for Equity Hawks as Dumas falter,2026-03-06,11,0.7,0.6000000000000001,Positive
"How calm Jarvis came, saw and bagged Sh60m in just four days",Sports,https://www.standardmedia.co.ke/sports/golf/article/2001541532/how-calm-jarvis-came-saw-and-bagged-sh60m-in-just-four-days,2026-03-06 11:59:00,"How calm Jarvis came, saw and bagged Sh60m in just four days",2026-03-06,11,0.30000000000000004,0.75,Positive
2026 Women's Africa Cup of Nations postponed,Sports,https://www.standardmedia.co.ke/sports/sports/article/2001542387/2026-womens-africa-cup-of-nations-postponed,2026-03-06 11:59:00,2026 Women's Africa Cup of Nations postponed,2026-03-06,11,0.0,0.0,Neutral
Bayern and Kane gambling with house money as Gladbach come to town,Sports,https://www.standardmedia.co.ke/sports/football/article/2001542356/bayern-and-kane-gambling-with-house-money-as-gladbach-come-to-town,2026-03-06 11:59:00,Bayern and Kane gambling with house money as Gladbach come to town,2026-03-06,11,0.0,0.0,Neutral
Man United defender Maguire gets Greece brawl sentence reduced,Sports,https://www.standardmedia.co.ke/sports/football/article/2001542350/man-united-defender-maguire-gets-greece-brawl-sentence-reduced,2026-03-06 11:59:00,Man United defender Maguire gets Greece brawl sentence reduced,2026-03-06,11,0.0,0.0,Neutral
Cristiano Ronaldo injured but should be fit for World Cup,Sports,https://www.standardmedia.co.ke/sports/football/article/2001542247/cristiano-ronaldo-injured-but-should-be-fit-for-world-cup,2026-03-06 11:59:00,Cristiano Ronaldo injured but should be fit for World Cup,2026-03-06,11,0.4,0.4,Positive
Real Madrid's Brazilian winger Rodrygo set to miss World Cup with knee injuryReal Madrid said Tuesday their winger Rodrygo Goes has suffered a severe knee injury which will keep him out of the World Cup with Brazil this summer.,Sports,https://www.standardmedia.co.ke/sports/football/article/2001542243/real-madrids-brazilian-winger-rodrygo-set-to-miss-world-cup-with-knee-injury,2026-03-06 11:59:00,Real Madrid's Brazilian winger Rodrygo set to miss World Cup with knee injuryReal Madrid said Tuesday their winger Rodrygo Goes has suffered a severe knee injury which will keep him out of the World Cup with Brazil this summer.,2026-03-06,11,0.2,0.30000000000000004,Positive
"War, politics clouding World Cup on 100-day countdownDonald Trump's brutal immigration crackdown, polarized politics and a war unleashed on Iran have tarnished the global image of the United States",Sports,https://www.standardmedia.co.ke/sports/football/article/2001542242/war-politics-clouding-world-cup-on-100-day-countdown,2026-03-06 11:59:00,"War, politics clouding World Cup on 100-day countdownDonald Trump's brutal immigration crackdown, polarized politics and a war unleashed on Iran have tarnished the global image of the United States",2026-03-06,11,-0.4375,0.5,Negative
"Barca must 'make the impossible possible' vs Atletico, says coach Flick",Sports,https://www.standardmedia.co.ke/sports/football/article/2001542142/barca-must-make-the-impossible-possible-vs-atletico-says-coach-flick,2026-03-06 11:59:00,"Barca must 'make the impossible possible' vs Atletico, says coach Flick",2026-03-06,11,-0.3333333333333333,1.0,Negative
Five-star AFC Leopards not ready to give up on Premier League dream,Sports,https://www.standardmedia.co.ke/sports/football/article/2001542129/five-star-afc-leopards-not-ready-to-give-up-on-premier-league-dream,2026-03-06 11:59:00,Five-star AFC Leopards not ready to give up on Premier League dream,2026-03-06,11,-0.1,0.5,Neutral
Record Kenyan champions Gor Mahia go nine points clear,Sports,https://www.standardmedia.co.ke/sports/football/article/2001541982/record-kenyan-champions-gor-mahia-go-nine-points-clear,2026-03-06 11:59:00,Record Kenyan champions Gor Mahia go nine points clear,2026-03-06,11,0.10000000000000002,0.3833333333333333,Positive
"Real Madrid face Man City, PSG draw Chelsea in Champions League last 16",Sports,https://www.standardmedia.co.ke/sports/football/article/2001541893/real-madrid-face-man-city-psg-draw-chelsea-in-champions-league-last-16,2026-03-06 11:59:00,"Real Madrid face Man City, PSG draw Chelsea in Champions League last 16",2026-03-06,11,0.1,0.18333333333333335,Neutral
AFC Leopards stumble in SPL title race,Sports,https://www.standardmedia.co.ke/sports/football/article/2001541844/afc-leopards-stumble-in-spl-title-race,2026-03-06 11:59:00,AFC Leopards stumble in SPL title race,2026-03-06,11,-0.05,0.1,Neutral
Snoop Dogg given hero's welcome in first trip to Swansea since becoming co-owner,Sports,https://www.standardmedia.co.ke/sports/football/article/2001541797/snoop-dogg-given-heros-welcome-in-first-trip-to-swansea-since-becoming-co-owner,2026-03-06 11:59:00,Snoop Dogg given hero's welcome in first trip to Swansea since becoming co-owner,2026-03-06,11,0.5,0.6944444444444445,Positive
Faith Kipyegon nominated for 2026 Laureus World Sportswoman of the Year Award,Sports,https://www.standardmedia.co.ke/sports/athletics/article/2001542174/faith-kipyegon-nominated-for-2026-laureus-world-sportswoman-of-the-year-award,2026-03-06 11:59:00,Faith Kipyegon nominated for 2026 Laureus World Sportswoman of the Year Award,2026-03-06,11,0.0,0.0,Neutral
"Marathon champion Jeptoo, Were among 27 Kenyan athletes suspended for doping violations",Sports,https://www.standardmedia.co.ke/sports/athletics/article/2001542138/marathon-champion-jeptoo-were-among-27-kenyan-athletes-suspended-for-doping-violations,2026-03-06 11:59:00,"Marathon champion Jeptoo, Were among 27 Kenyan athletes suspended for doping violations",2026-03-06,11,0.0,0.0,Neutral
Kenya finally removed from WADA watchlist,Sports,https://www.standardmedia.co.ke/sports/athletics/article/2001541981/kenya-finally-removed-from-wada-watchlist,2026-03-06 11:59:00,Kenya finally removed from WADA watchlist,2026-03-06,11,0.0,1.0,Neutral
A decade at the helm: Gianni Infantino marks 10 years as Kenya features in FIFA's long-term plan,Sports,https://www.standardmedia.co.ke/sports/football/article/2001541777/a-decade-at-the-helm-gianni-infantino-marks-10-years-as-kenya-features-in-fifas-long-term-plan,2026-03-06 11:59:00,A decade at the helm Gianni Infantino marks 10 years as Kenya features in FIFA's long-term plan,2026-03-06,11,0.0,0.0,Neutral
Beyond the playbook: Inside secrets of successful high school tacticians,Sports,https://www.standardmedia.co.ke/sports/sports/article/2001541535/beyond-the-playbook-inside-secrets-of-successful-high-school-tacticians,2026-03-06 11:59:00,Beyond the playbook Inside secrets of successful high school tacticians,2026-03-06,11,0.455,0.7449999999999999,Positive
Anest Karegi: One-handed man baffling villagers with soccer pitch exploits,Sports,https://www.standardmedia.co.ke/sports/sports/article/2001541214/anest-karegi-one-handed-man-baffling-villagers-with-soccer-pitch-exploits,2026-03-06 11:59:00,Anest Karegi One-handed man baffling villagers with soccer pitch exploits,2026-03-06,11,0.0,0.0,Neutral
Inside Victor Omune's Ingwe push to fulfil father's dream,Sports,https://www.standardmedia.co.ke/sports/football/article/2001541087/inside-victor-omunes-ingwe-push-to-fulfil-fathers-dream,2026-03-06 11:59:00,Inside Victor Omune's Ingwe push to fulfil father's dream,2026-03-06,11,0.0,0.0,Neutral
How Kevin Wekesa turned rugby platform into climate action force,Sports,https://www.standardmedia.co.ke/sports/rugby/article/2001540535/how-kevin-wekesa-turned-rugby-platform-into-climate-action-force,2026-03-06 11:59:00,How Kevin Wekesa turned rugby platform into climate action force,2026-03-06,11,0.1,0.1,Neutral
Why Rising Starlets aren't out of the woods,Sports,https://www.standardmedia.co.ke/sports/sports/article/2001540447/why-rising-starlets-arent-out-of-the-woods,2026-03-06 11:59:00,Why Rising Starlets aren't out of the woods,2026-03-06,11,0.0,0.0,Neutral
"Rugby union, SHA start health and wellness promotion drive",Sports,https://www.standardmedia.co.ke/sports/sports-health/article/2001531471/rugby-union-sha-start-health-and-wellness-promotion-drive,2026-03-06 11:59:00,"Rugby union, SHA start health and wellness promotion drive",2026-03-06,11,0.0,0.0,Neutral
"Czech parliament shields PM, speaker from trials",World,https://www.standardmedia.co.ke/world/article/2001542419/czech-parliament-shields-pm-speaker-from-trials,2026-03-06 12:00:00,"Czech parliament shields PM, speaker from trials",2026-03-06,12,0.0,0.0,Neutral
UK sends more fighter jets to Gulf: PM,World,https://www.standardmedia.co.ke/world/article/2001542418/uk-sends-more-fighter-jets-to-gulf-pm,2026-03-06 12:00:00,UK sends more fighter jets to Gulf PM,2026-03-06,12,0.5,0.5,Positive
US asked Ukraine for support in drone protection in Middle East: Zelensky,World,https://www.standardmedia.co.ke/world/article/2001542415/us-asked-ukraine-for-support-in-drone-protection-in-middle-east-zelensky,2026-03-06 12:00:00,US asked Ukraine for support in drone protection in Middle East Zelensky,2026-03-06,12,0.0,0.0,Neutral
War in the Middle East: latest developments,World,https://www.standardmedia.co.ke/asia/article/2001542380/war-in-the-middle-east-latest-developments,2026-03-06 12:00:00,War in the Middle East latest developments,2026-03-06,12,0.25,0.45,Positive
Man accused of plot to kill Trump says Iran pressured him,World,https://www.standardmedia.co.ke/america/article/2001542366/man-accused-of-plot-to-kill-trump-says-iran-pressured-him,2026-03-06 12:00:00,Man accused of plot to kill Trump says Iran pressured him,2026-03-06,12,0.0,0.0,Neutral
How Africa is 'exposed' to Middle East war,World,https://www.standardmedia.co.ke/africa/article/2001542337/how-africa-is-exposed-to-middle-east-war,2026-03-06 12:00:00,How Africa is 'exposed' to Middle East war,2026-03-06,12,0.0,0.0,Neutral
Iran FM says US will 'bitterly regret' precedent set by sinking ship,World,https://www.standardmedia.co.ke/asia/article/2001542333/iran-fm-says-us-will-bitterly-regret-precedent-set-by-sinking-ship,2026-03-06 12:00:00,Iran FM says US will 'bitterly regret' precedent set by sinking ship,2026-03-06,12,-0.1,0.5,Neutral
South Korea activates Sh9 trillion market stability fund over Mideast crisis,World,https://www.standardmedia.co.ke/world/article/2001542326/south-korea-activates-sh9-trillion-market-stability-fund-over-mideast-crisis,2026-03-06 12:00:00,South Korea activates Sh9 trillion market stability fund over Mideast crisis,2026-03-06,12,0.0,0.0,Neutral
"Taiwan opposition backs Sh1.4 trillion US arms deal, but no 'blank cheque'",World,https://www.standardmedia.co.ke/world/article/2001542324/taiwan-opposition-backs-sh14-trillion-us-arms-deal-but-no-blank-cheque,2026-03-06 12:00:00,"Taiwan opposition backs Sh1.4 trillion US arms deal, but no 'blank cheque'",2026-03-06,12,0.0,0.0,Neutral
"China boosts military spending with eyes on US, Taiwan",World,https://www.standardmedia.co.ke/world/article/2001542323/china-boosts-military-spending-with-eyes-on-us-taiwan,2026-03-06 12:00:00,"China boosts military spending with eyes on US, Taiwan",2026-03-06,12,-0.1,0.1,Neutral
At least six die in DR Congo mine collapse,World,https://www.standardmedia.co.ke/africa/article/2001542240/at-least-six-die-in-dr-congo-mine-collapse,2026-03-06 12:00:00,At least six die in DR Congo mine collapse,2026-03-06,12,-0.3,0.4,Negative
Iran claims 'complete control' of strait: Latest developments in Middle East war,World,https://www.standardmedia.co.ke/world/article/2001542248/iran-claims-complete-control-of-strait-latest-developments-in-middle-east-war,2026-03-06 12:00:00,Iran claims 'complete control' of strait Latest developments in Middle East war,2026-03-06,12,0.19999999999999998,0.43333333333333335,Positive
"Four children killed in Djibouti 'drone strike' explosion: official, NGO",World,https://www.standardmedia.co.ke/africa/article/2001542237/four-children-killed-in-djibouti-drone-strike-explosion-official-ngo,2026-03-06 12:00:00,"Four children killed in Djibouti 'drone strike' explosion official, NGO",2026-03-06,12,-0.2,0.0,Negative
US confirms joint anti-drug operations with Ecuador,World,https://www.standardmedia.co.ke/world/article/2001542229/us-confirms-joint-anti-drug-operations-with-ecuador,2026-03-06 12:00:00,US confirms joint anti-drug operations with Ecuador,2026-03-06,12,0.0,0.0,Neutral
Gabon fashion designer brings traditional raffia to Paris runways,World,https://www.standardmedia.co.ke/africa/article/2001542228/gabon-fashion-designer-brings-traditional-raffia-to-paris-runways,2026-03-06 12:00:00,Gabon fashion designer brings traditional raffia to Paris runways,2026-03-06,12,0.0,0.75,Neutral
Israel launches new strikes as Iran squeezes key oil shipping route,World,https://www.standardmedia.co.ke/world/article/2001542227/israel-launches-new-strikes-as-iran-squeezes-key-oil-shipping-route,2026-03-06 12:00:00,Israel launches new strikes as Iran squeezes key oil shipping route,2026-03-06,12,0.06818181818181818,0.7272727272727273,Neutral
Trump says US navy could escort tankers through Hormuz Strait,World,https://www.standardmedia.co.ke/america/article/2001542223/trump-says-us-navy-could-escort-tankers-through-hormuz-strait,2026-03-06 12:00:00,Trump says US navy could escort tankers through Hormuz Strait,2026-03-06,12,0.0,0.0,Neutral
Khamenei to be buried in holy city of Mashhad: Iranian media,World,https://www.standardmedia.co.ke/asia/article/2001542222/khamenei-to-be-buried-in-holy-city-of-mashhad-iranian-media,2026-03-06 12:00:00,Khamenei to be buried in holy city of Mashhad Iranian media,2026-03-06,12,0.0,0.0,Neutral
"African Union faces backlash as conflicts soar, reform calls grow",World,https://www.standardmedia.co.ke/africa/article/2001542209/african-union-faces-backlash-as-conflicts-soar-reform-calls-grow,2026-03-06 12:00:00,"African Union faces backlash as conflicts soar, reform calls grow",2026-03-06,12,0.0,0.0,Neutral
Two Turkish journalists detained in Israel,World,https://www.standardmedia.co.ke/world/article/2001542198/two-turkish-journalists-detained-in-israel,2026-03-06 12:00:00,Two Turkish journalists detained in Israel,2026-03-06,12,0.0,0.0,Neutral
EU asylum applications dropped in 2025 but Iran concerns mount,World,https://www.standardmedia.co.ke/world/article/2001542168/eu-asylum-applications-dropped-in-2025-but-iran-concerns-mount,2026-03-06 12:00:00,EU asylum applications dropped in 2025 but Iran concerns mount,2026-03-06,12,0.0,0.0,Neutral
"Mideast war energy shock could hit eurozone, ECB warns",World,https://www.standardmedia.co.ke/world/article/2001542163/mideast-war-energy-shock-could-hit-eurozone-ecb-warns,2026-03-06 12:00:00,"Mideast war energy shock could hit eurozone, ECB warns",2026-03-06,12,0.0,0.0,Neutral
Trump says US-UK relationship 'not like it used to be',World,https://www.standardmedia.co.ke/america/article/2001542151/trump-says-us-uk-relationship-not-like-it-used-to-be,2026-03-06 12:00:00,Trump says US-UK relationship 'not like it used to be',2026-03-06,12,0.0,0.0,Neutral
Helicopter crash kills two in Philippines,World,https://www.standardmedia.co.ke/asia/article/2001542150/helicopter-crash-kills-two-in-philippines,2026-03-06 12:00:00,Helicopter crash kills two in Philippines,2026-03-06,12,0.0,0.0,Neutral
Warming El Nino may return later this year: UN,World,https://www.standardmedia.co.ke/world/article/2001542148/warming-el-nino-may-return-later-this-year-un,2026-03-06 12:00:00,Warming El Nino may return later this year UN,2026-03-06,12,0.0,0.0,Neutral
Rwanda hits back at US sanctions over M23 support in DR Congo,World,https://www.standardmedia.co.ke/africa/article/2001542145/rwanda-hits-back-at-us-sanctions-over-m23-support-in-dr-congo,2026-03-06 12:00:00,Rwanda hits back at US sanctions over M23 support in DR Congo,2026-03-06,12,0.0,0.0,Neutral
The French village where Ayatollah Khomeini fomented Iran's revolution,World,https://www.standardmedia.co.ke/world/article/2001542141/the-french-village-where-ayatollah-khomeini-fomented-irans-revolution,2026-03-06 12:00:00,The French village where Ayatollah Khomeini fomented Iran's revolution,2026-03-06,12,0.0,0.0,Neutral
"Love, controversy and bold politics: The complex life of MP Johana Ng'eno",World,https://www.standardmedia.co.ke/newsbeat/article/2001542433/love-controversy-and-bold-politics-the-complex-life-of-mp-johana-ngeno,2026-03-06 12:00:00,"Love, controversy and bold politics The complex life of MP Johana Ng'eno",2026-03-06,12,0.17777777777777773,0.5555555555555555,Positive
No home to return to for woman after 25 years in prison,Counties,https://www.standardmedia.co.ke/central/article/2001542405/no-home-to-return-to-for-woman-after-25-years-in-prison,2026-03-06 12:00:00,No home to return to for woman after 25 years in prison,2026-03-06,12,0.0,0.0,Neutral
Mau and land disputes dominate prayers for chopper crash victims,Counties,https://www.standardmedia.co.ke/rift-valley/article/2001542414/mau-and-land-disputes-dominate-prayers-for-chopper-crash-victims,2026-03-06 12:00:00,Mau and land disputes dominate prayers for chopper crash victims,2026-03-06,12,0.0,0.0,Neutral
Barasa warns leaders against politicising construction of mega projects,Counties,https://www.standardmedia.co.ke/western/article/2001542389/barasa-warns-leaders-against-politicising-construction-of-mega-projects,2026-03-06 12:00:00,Barasa warns leaders against politicising construction of mega projects,2026-03-06,12,0.0,0.0,Neutral
